crash_date,crash_time,borough,zip_code,longitude,latitude,on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed
2019-01-01T00:00:00.000,9:42,QUEENS,11355,-73.8135450,40.7516100,LABURNUM AVENUE                 ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,15:30,,,,,,1,0,0,0,1,0,0,0
2019-01-01T00:00:00.000,16:30,BRONX,10468,,,GOULDEN AVENUE                  ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,6:55,,,-73.9172500,40.7409400,47 AVENUE                       ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,23:10,,,-73.9317000,40.7652240,BROADWAY                        ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,4:10,MANHATTAN,10075,-73.9568000,40.7749670,3 AVENUE                        ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,18:25,,,,,BRONX WHITESTONE BRIDGE         ,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,1:10,MANHATTAN,10011,-73.9968500,40.7373600,AVENUE OF THE AMERICAS          ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,12:15,QUEENS,11368,-73.8574700,40.7411400,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,19:40,MANHATTAN,10013,-73.9960500,40.7180440,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,13:00,QUEENS,11101,-73.9390300,40.7535670,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,2:35,BROOKLYN,11206,-73.9485500,40.7090150,LORIMER STREET                  ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,10:30,BRONX,10460,-73.8868000,40.8353960,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,2:50,,,,,CROSS ISLAND PARKWAY            ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,14:40,QUEENS,11355,-73.8306700,40.7520680,CROMMELIN STREET                ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,4:45,BRONX,10468,-73.8930050,40.8678780,GRAND CONCOURSE                 ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,1:56,MANHATTAN,10019,-73.9788100,40.7621000,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,0:01,,,-73.8552860,40.6833700,85 STREET                       ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,18:55,STATEN ISLAND,10304,-74.0767060,40.6186560,PARK HILL COURT                 ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,20:30,QUEENS,11354,-73.8206700,40.7649880,NORTHERN BOULEVARD              ,1,0,1,0,0,0,0,0
2019-01-01T00:00:00.000,7:50,BROOKLYN,11236,-73.8939600,40.6339300,AVENUE N                        ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,14:00,,,,,VERRAZANO BRIDGE UPPER          ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,4:40,,,-73.9113900,40.8309860,CLAY AVENUE                     ,6,0,0,0,0,0,6,0
2019-01-01T00:00:00.000,11:00,QUEENS,11362,-73.7394700,40.7530360,65 AVENUE                       ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,14:00,BROOKLYN,11220,-74.0057900,40.6460150,6 AVENUE                        ,2,0,0,0,0,0,2,0
2019-01-01T00:00:00.000,5:05,BRONX,10458,-73.8913200,40.8641320,EAST 194 STREET                 ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,12:57,BROOKLYN,11235,-73.9500800,40.5848730,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,19:45,,,-73.9606100,40.7697500,EAST 72 STREET                  ,1,0,0,0,1,0,0,0
2019-01-01T00:00:00.000,6:00,,,-74.1628200,40.6233400,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,1:30,MANHATTAN,10023,-73.9821550,40.7705730,WEST 62 STREET                  ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,22:10,BRONX,10459,-73.8908300,40.8203050,HUNTS POINT AVENUE              ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,0:45,,,-73.7916700,40.7395740,LONG ISLAND EXPRESSWAY          ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,18:08,BROOKLYN,11228,-74.0112800,40.6269650,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,21:54,BROOKLYN,11223,-73.9615600,40.6030040,CONEY ISLAND AVENUE             ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,20:30,,,-73.9326200,40.7447800,QUEENS BOULEVARD                ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,19:30,QUEENS,11375,-73.8492700,40.7322770,108 STREET                      ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,7:30,QUEENS,11422,-73.7455500,40.6382700,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,1:00,MANHATTAN,10031,-73.9433700,40.8259540,WEST 148 STREET                 ,1,0,1,0,0,0,0,0
