date,borough,avg_speed,avg_time
2019-01-17,Manhattan,24.19471961244862,293.4063417498532
2019-01-17,Queens,38.6264689763163,245.14523390095908
2019-01-17,Staten island,39.832175572519084,54.47709923664122
2019-01-17,Staten Island,35.16230025445292,117.14249363867685
2019-01-18,Bronx,34.53719284956825,180.75382517800332
2019-01-18,Brooklyn,38.96583405923345,179.55966898954705
2019-01-18,Manhattan,24.96259715893862,274.51085499865985
2019-01-18,Queens,37.097444831591176,254.79210220673636
2019-01-18,Staten island,41.11167247386759,55.292682926829265
2019-01-18,Staten Island,26.641305458768873,275.97770034843205
2019-01-19,Bronx,40.15769474637681,153.4542572463768
2019-01-19,Brooklyn,43.424730902777775,134.31966145833334
2019-01-19,Manhattan,28.575938835470087,242.77443910256412
2019-01-19,Queens,42.43930228376191,211.64269016363963
